I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
4.724298093329708,-27.83022035585236,-26.51142939415695,-1.87657624725216,25.448692468737136,-29.456105174078857,-38.68640651500391,-31.42985083448184,-65.58165759534859,-56.21100072704212,-58.739179369078556,7.223332080350701
4.775463031342952,-26.615441813048164,-25.136495863804157,-1.9786872047516226,23.927326468699903,-27.63372939480496,-35.9781330432088,-32.198597538683316,-64.26515572077005,-54.80456828472961,-57.33274692676787,5.1522135868490295
4.5759628427531425,-25.37581270399278,-23.0053638148147,-1.9059782648855617,21.559898210077336,-25.86547477727072,-32.89787211346993,-32.91431956497581,-62.85912053578977,-53.263812137725836,-55.791990779765,2.5159946007775034
3.963891528754175,-24.125695417267707,-20.28732587554441,-1.483967599042444,18.484837940874968,-24.161157419383017,-29.70730310518411,-33.56119382305951,-61.36355204040956,-51.58873228603261,-54.116910928070865,-0.46823677653264895
2.7783979750565777,-22.87945234145991,-17.180695200311675,-0.48496822153356334,14.91173656189494,-22.530593419046454,-26.685032366123778,-34.12339722262732,-59.7784502346276,-49.8164799047172,-52.34465612570784,-3.5700469552525647
1.0756824457166658,-21.651445865145433,-13.899928069966336,1.0530938023157432,11.151502435409384,-20.98359887416609,-24.100258876434964,-34.585106673379414,-58.10381511844389,-48.13269638188649,-50.660865988396836,-6.558214746831254
-0.9741371905365668,-20.45603837690942,-10.662464105020263,2.971916967198922,7.532869032463168,-19.52998988264835,-22.187460834957164,-34.93049908501598,-56.33964669186025,-45.950086883724,-48.469939319713376,-9.213289253774747
-3.1679213372262893,-19.30759226533337,-7.675284091319554,5.079842232458759,4.35061988599864,-18.179582542398748,-21.12210316792698,-35.143751367228106,-54.48594495487487,-43.246407001439366,-45.72867155332642,-11.340147759426145
-5.288933701503993,-18.220469918998788,-5.12118541826203,7.167351667407274,1.838965777613339,-16.942192951322795,-20.985513612286013,-35.20904042971779,-52.54270990748955,-40.1593770545378,-42.600692481111764,-12.780553617741134
-7.1272286443272606,-17.209033726488997,-3.1447751295836497,9.022567096653802,0.14409379182870907,-15.827637207325097,-21.17345506480342,-35.110543182179754,-50.53277577413792,-36.87812083454628,-39.329396810905564,-13.425714143067125
-8.501000849486445,-16.2876460763855,-1.7051793558639474,10.446748745443983,-0.784581018056997,-14.845731408312531,-21.62185886374209,-34.832436534316,-48.674794486969404,-33.62624884911202,-36.19926261472301,-13.379856842139816
-9.297928358713762,-15.470669357269799,-0.2515896130116744,11.288824932263196,-1.3813835675891823,-14.006291652189702,-22.35436282867522,-34.372933673874286,-46.38076227252532,-30.644941566144553,-33.50068673833812,-13.318042267678265
-9.561236364617798,-14.772465957723398,0.9920846413115214,11.55802101172958,-1.621151536304751,-13.319134036862124,-23.308984485860492,-33.74626152901146,-43.50181844999497,-28.176032657920587,-31.49833717220463,-13.005704942162083
-9.341347723337094,-14.207398266333257,1.990035687085765,11.328152935015169,-1.4411585817842933,-12.794074660235765,-24.423741361550128,-32.846783659280845,-40.250641095084575,-26.44509224522153,-30.403022383715324,-12.305790985239582
-8.593959916728636,-13.789828671671785,2.730149102784708,10.577170629318971,-0.7079881172649038,-12.440929620216139,-25.636650981998173,-31.530474858231173,-36.99048543569552,-25.634984377489673,-30.347077610820634,-11.072824932137337
-7.23664762347471,-13.534119562329579,3.2003104668856395,9.219858336064135,0.6494948350209597,-12.269515014708304,-26.88573087345867,-29.686927034736073,-34.135288313269484,-25.598905014211596,-31.269364322095498,-9.322330904805767
-5.360867851492003,-13.454633326886324,3.3884053578603925,7.344078564083247,2.5253870200504025,-12.28964694161823,-28.108998562183842,-27.511343571128236,-32.064383255283246,-26.217712192176805,-32.431788444695485,-7.2273994624274565
-3.1838389712884236,-13.565732353921703,3.2823193541880755,5.1670496838769395,4.702467617508773,-12.51114149885052,-29.244471574424097,-25.408909255538674,-31.05182615893318,-27.86776520291005,-33.803292166267966,-5.015159594206125
-0.8024460420583637,-13.881779032022678,2.869938034340521,2.7995605718533625,7.069962661370482,-12.943814784312053,-30.230167436438933,-23.895745969812197,-31.210331585945823,-30.44652115210738,-35.26657315771263,-2.9297653415046625
1.1823186730543966,-14.417135749767112,2.1391469767968374,0.7897044501896744,9.078890523815062,-13.597482895907433,-31.004103674480575,-22.78076717710246,-32.44848721924791,-33.618897560319056,-36.67075377729907,-1.1990440673466765
1.913373752266125,-15.18616489573651,1.0778317600306764,-0.07025382536994584,9.809309333304554,-14.481961931542173,-31.50429781479761,-21.26238219867446,-34.23140929009969,-37.44559203237259,-37.86495638330052,-0.00480637326836586
1.3138408420309133,-16.153425087606593,-0.2942334585914068,0.37190296252811095,8.959248282923909,-15.557110746036415,-31.716023157969175,-19.91157515186387,-35.22719436213811,-39.99733185205332,-38.72029622651189,0.5431823364697266
-0.44813697949393827,-17.193860844099618,-1.9077822841627494,2.0894837426849335,6.879384023455714,-16.69144860646702,-31.693492029997287,-18.887888495964944,-34.9683945341385,-40.18801515913401,-39.11671363140886,0.4705581847238136
-2.8520358659843623,-18.91245138556951,-4.204263459390859,4.745572422103578,4.78771947180212,-18.580914525513435,-30.71298153389398,-17.38901938050367,-33.299882588840774,-38.76950426910935,-38.52188912150814,0.08354768705294191
-5.261437643939644,-21.288376827424145,-7.174977636415861,7.903567996659149,3.4272023246248864,-21.281730738295664,-28.70971740677487,-15.091434340700289,-30.26700327706385,-35.89504516628767,-36.791759078734685,-0.3300150189552369
-7.1520465101493755,-24.16674948052423,-10.498558621957272,11.166875922244799,3.050057269750141,-24.18678150909227,-26.165269970973895,-12.14581423024174,-26.158574124498045,-31.8054148841602,-34.240020753300996,-0.8783913550573743
-8.140782480113558,-27.340285856307673,-13.799867183430251,14.172768710584933,3.67249484846252,-26.565015411179047,-23.742929103078495,-9.107593283873939,-21.4222524208908,-27.387365502241664,-31.361279499647026,-1.6715540051927746
-8.030446054815911,-30.568055217709116,-17.054813577922687,16.563366184172992,5.50135102267086,-28.45040746697987,-21.83077930890977,-6.276942056689222,-16.686038229432597,-23.068548805798855,-28.633601836640082,-2.0371357859266936
